"phone_number","email_address","street_number","street_name","city","province","post_code","country"
"(902) 196-5234","branch5@nci.ca","921","Victoria Ave.","Halifax","Nova Scotia","B0A 2G2","Canada"
"(709) 246-5379","sbrown172@nci.ca","685","Third Rd.","Torbay","Newfoundland and Labrador","A9A 0F1","Canada"
"(902) 145-0094","branch6@nci.ca","761","Sixth Rd.","Eastport","Newfoundland and Labrador","A9L 1H1","Canada"
"(902) 145-8072","branch1@nci.ca","348","Main Rd.","Halifax","Nova Scotia","B0A 2G1","Canada"
"(709) 358-6897","jbostrom116@nci.ca","768","Eleventh Dr.","Torbay","Newfoundland and Labrador","A9A 0F2","Canada"
"(902) 630-9519","rsmith985@nci.ca","508","Oak Blvd.","Halifax","Nova Scotia","B0A 0V1","Canada"
"(902) 145-1411","branch10@nci.ca","767","Second Rd.","Clarenville","Newfoundland and Labrador","A1B 3O1","Canada"
"(902) 145-7851","branch2@nci.ca","378","River Rd.","Halifax","Nova Scotia","B0A 2G2","Canada"
"(902) 196-1903","branch3@nci.ca","435","First Ave.","Stephenville","Newfoundland and Labrador","A2B 1F1","Canada"
"(709) 246-7519","drivera866@nci.ca","298","Fourth Rd.","Petty Harbour-Maddox Cove","Newfoundland and Labrador","A5G 1E1","Canada"
"(902) 630-3700","ddenley218@nci.ca","315","Second Rd.","Halifax","Nova Scotia","B0A 0V1","Canada"
"(902) 235-2284","croane685@nci.ca","885","Sunset Rd.","Cape Breton","Nova Scotia","B1A 0O1","Canada"
"(902) 145-1053","branch7@nci.ca","635","Third Rd.","Halifax","Nova Scotia","B0A 2G2","Canada"
"(709) 131-4314","branch9@nci.ca","81","William Rd.","St. Alban's","Newfoundland and Labrador","A6F 3Q1","Canada"
"(902) 630-1164","kfisher756@nci.ca","794","Main Dr.","Halifax","Nova Scotia","B0A 0V1","Canada"
"(902) 630-4282","bbrown507@nci.ca","596","Queen Rd.","Halifax","Nova Scotia","B0A 0V1","Canada"
"(902) 145-2944","branch4@nci.ca","228","Victoria Ave.","Deer Lake","Newfoundland and Labrador","A5B 2G1","Canada"
"(902) 196-2519","branch8@nci.ca","284","Third Rd.","Pasadena","Newfoundland and Labrador","A8B 3J1","Canada"
"(709) 246-4923","dbossler526@nci.ca","919","Main Rd.","St. Mary's","Newfoundland and Labrador","A1R 2Z1","Canada"
"(902) 009-2100","hq@nci.ca","609","Fourth Rd.","Halifax","Nova Scotia","B0A 3J1","Canada"
"(902) 235-3865","wsmith50@nci.ca","569","Eleventh Rd.","Cape Breton","Nova Scotia","B1A 0O2","Canada"
