"id","first_name","last_name","role_name","street_number","street_name","city","province","postal_code","country","phone_number","email_address","sin","company_name","institution_number","transit_number","account_number","start_date","salary","branch_id"
"1","Clarence","Pough","Civil Engineer","858","James Rd.","Halifax","Nova Scotia","B0A 3Q1","Canada","(902) 132-7569","cpough886@nci.ca","108341935","New Canada Incorporated","829","92422","0848322","2019-10-25","3"
"2","Gabriel","Laguna","Artist","921","Victoria Rd.","Harbour Grace","Newfoundland and Labrador","A4C 2A1","Canada","(709) 243-6944","glaguna659@nci.ca","178638194","New Canada Incorporated","570","22371","8386896","2017-03-19","3"
"3","Rose","Smith","Administrative Assistant","975","Martin Dr.","Halifax","Nova Scotia","B0A 3Q2","Canada","(902) 132-6177","rsmith674@nci.ca","196146097","New Canada Incorporated","626","87454","2312242","2021-04-19","1"
"4","Eric","Harvey","Garbage Truck Drive","22","First Blvd.","Halifax","Nova Scotia","B0A 3Q2","Canada","(902) 132-0873","eharvey821@nci.ca","157659138","New Canada Incorporated","39","31593","8213911","2015-04-27","8"
"5","Allan","Carden","Fireman","907","Birch Rd.","Renews-Cappahayden","Newfoundland and Labrador","A1S 3B1","Canada","(709) 243-1195","acarden718@nci.ca","180162878","New Canada Incorporated","842","15002","0723166","2022-07-11","9"
"6","Nicole","Williams","Electrician","896","Sixth Blvd.","Triton","Newfoundland and Labrador","A0H 0C1","Canada","(709) 243-2295","nwilliams329@nci.ca","169989010","New Canada Incorporated","879","36070","5689400","2012-06-21","3"
"7","Johnny","Kimmel","Paralegal","585","Eighth Rd.","Cape Breton","Nova Scotia","B1A 0Y1","Canada","(902) 132-9970","jkimmel120@nci.ca","161433108","New Canada Incorporated","310","98137","1377968","2017-10-11","2"
"8","Efrain","Duckett","Chemical Engineer","885","Second Ave.","Halifax","Nova Scotia","B0A 3Q3","Canada","(902) 132-5793","educkett555@nci.ca","182094541","New Canada Incorporated","899","79328","0931575","2019-10-25","9"
"9","Kathy","Musto","Coach","659","Victoria St.","Burin","Newfoundland and Labrador","A9C 1Y1","Canada","(709) 243-6371","kmusto88@nci.ca","189041040","New Canada Incorporated","358","23540","2682312","2020-12-11","2"
"10","Jared","Norris","Orthodontist","745","Second Blvd.","Colliers","Newfoundland and Labrador","A8J 3M1","Canada","(709) 243-3526","jnorris359@nci.ca","162872387","New Canada Incorporated","899","94939","9943397","2019-01-20","9"
"11","Elena","Pecora","Orthodontist","455","Sixth Rd.","Halifax","Nova Scotia","B0A 3Q3","Canada","(902) 132-5951","epecora952@nci.ca","166017211","New Canada Incorporated","568","75113","5159496","2019-02-04","2"
"12","Cora","Miller","Chef","949","Martin Rd.","Halifax","Nova Scotia","B0A 3Q4","Canada","(902) 132-7414","cmiller389@nci.ca","144076586","New Canada Incorporated","347","87497","3900210","2013-10-01","4"
"13","Linda","Hapke","Paramedic","193","First Ct.","North West River","Newfoundland and Labrador","A1L 3H1","Canada","(709) 682-3131","lhapke840@nci.ca","163585434","New Canada Incorporated","359","76245","9791613","2013-06-19","7"
"14","Jennifer","Kendell","Librarian","433","Second Ct.","Placentia","Newfoundland and Labrador","A9B 1V1","Canada","(709) 709-5731","jkendell638@nci.ca","170380019","New Canada Incorporated","890","12407","6715265","2015-04-10","2"
"15","Effie","Bosserman","Librarian","705","Railway Rd.","Harbour Breton","Newfoundland and Labrador","A9E 2W1","Canada","(709) 682-3863","ebosserman460@nci.ca","194831070","New Canada Incorporated","270","77988","0736204","2018-10-04","9"
"16","Randolph","Lassiter","Associate Professor","850","Fifth Rd.","Grand Le Pierre","Newfoundland and Labrador","A2W 2W1","Canada","(709) 134-4614","rlassiter732@nci.ca","167333849","New Canada Incorporated","346","83269","3477011","2013-09-26","6"
"17","Robert","Flowers","Taxi Driver","922","Mountain Dr.","Cape Breton","Nova Scotia","B1A 0Y1","Canada","(902) 443-4221","rflowers127@nci.ca","198403132","New Canada Incorporated","344","59979","5222607","2008-06-14","10"
"18","Frank","Cross","Bee Keeper","634","Park Rd.","Halifax","Nova Scotia","B0A 3Q5","Canada","(902) 443-8699","fcross475@nci.ca","187242228","New Canada Incorporated","359","61502","3545065","2009-12-26","5"
"19","Amanda","Cantu","Physical Therapist","374","Tenth Rd.","Halifax","Nova Scotia","B0A 3Q5","Canada","(902) 443-0888","acantu591@nci.ca","139435367","New Canada Incorporated","275","27883","1087749","2012-10-11","5"
"20","Henry","Sampsell","Electrician","462","Martin Rd.","Halifax","Nova Scotia","B0A 3Q6","Canada","(902) 132-3252","hsampsell354@nci.ca","143411743","New Canada Incorporated","844","51152","6327962","2017-12-20","5"
"21","Alvin","Demery","Business Strategist","624","Main Ave.","Halifax","Nova Scotia","B0A 3Q6","Canada","(902) 132-1877","ademery667@nci.ca","181897829","New Canada Incorporated","842","75905","2306491","2006-03-22","7"
"22","Jerry","Guillory","Scientist","477","First Dr.","Labrador City","Newfoundland and Labrador","A0B 0C1","Canada","(709) 134-7214","jguillory111@nci.ca","140927865","New Canada Incorporated","550","17657","5173728","2020-06-12","1"
"23","John","Corum","Athlete","427","Second Rd.","Halifax","Nova Scotia","B0A 3Q6","Canada","(902) 443-6901","jcorum774@nci.ca","114300610","New Canada Incorporated","294","29246","4902949","2018-05-08","6"
"24","Heather","Yankee","Lawyer","437","Willow St.","Halifax","Nova Scotia","B0A 3Q6","Canada","(902) 443-7390","hyankee218@nci.ca","110278612","New Canada Incorporated","10","69748","2431614","2022-07-26","9"
"25","Flora","Beverly","Mechanical Engineer","742","Fourth Rd.","Halifax","Nova Scotia","B0A 3Q6","Canada","(902) 443-1575","fbeverly176@nci.ca","111246857","New Canada Incorporated","16","61400","9572186","2018-06-14","8"
"26","Alan","Gunderman","Chemical Engineer","581","Third Rd.","Halifax","Nova Scotia","B0A 3Q6","Canada","(902) 328-4340","agunderman528@nci.ca","146788345","New Canada Incorporated","344","92927","1182564","2009-05-02","2"
"27","James","Labree","Manager","486","Eighth Dr.","Halifax","Nova Scotia","B0A 3Q7","Canada","(902) 132-1294","jlabree849@nci.ca","173860868","New Canada Incorporated","342","96010","8560429","2019-03-21","2"
