"employee_id","first_name","last_name","role_name","role_id","street_number","street_name","city","province","postal_code","country","phone_number","email_address","sin","company_name","institution_number","transit_number","account_number","start_date","salary","branch_id"
"1","Berta","Betterman","Busboy","23","762","River Rd.","Halifax","Nova Scotia","B0A 1C1","Canada","(902) 109-9383","bbetterman499@nci.ca","118502609","New Canada Incorporated","361","13772","9679512","2018-10-18","6"
"2","Casey","King","Electrician","18","656","Poplar Ave.","Glenwood","Newfoundland and Labrador","A9H 1E1","Canada","(709) 117-6432","cking894@nci.ca","115764277","New Canada Incorporated","837","72261","7776089","2018-07-25","1"
"3","Cory","Barshaw","Athlete","43","602","First Rd.","Grand Bank","Newfoundland and Labrador","A1D 1P1","Canada","(709) 117-9063","cbarshaw427@nci.ca","174873969","New Canada Incorporated","10","21839","1756706","2016-09-05","6"
"4","Lisa","Rivera","Scientist","32","943","Centre Blvd.","Fox Harbour","Newfoundland and Labrador","A1U 0I1","Canada","(709) 117-9917","lrivera741@nci.ca","196686092","New Canada Incorporated","301","82281","5549421","2006-10-02","6"
"5","Marie","Martin","Firmware Engineer","14","996","Victoria Dr.","Stephenville","Newfoundland and Labrador","A2B 2U1","Canada","(709) 117-7468","mmartin102@nci.ca","106620330","New Canada Incorporated","347","80624","2870391","2016-09-12","7"
"6","Dorothy","Eddinger","Customer Service Representative","37","704","Maple Rd.","Halifax","Nova Scotia","B0A 1C1","Canada","(902) 459-7481","deddinger724@nci.ca","176310903","New Canada Incorporated","39","10765","5238215","2017-01-25","5"
"7","Tommy","Redmond","Physical Therapist","46","454","Second Ave.","Halifax","Nova Scotia","B0A 1C2","Canada","(902) 109-9909","tredmond182@nci.ca","171209597","New Canada Incorporated","830","79311","9324468","2021-11-17","4"
"8","Elizabeth","Novak","Paramedic","21","148","First Rd.","Marystown","Newfoundland and Labrador","A4B 0E1","Canada","(709) 796-7211","enovak82@nci.ca","182720921","New Canada Incorporated","618","44138","9632255","2018-03-03","9"
"9","Colby","Guajardo","Accountant","5","644","Aspen Rd.","Cape Breton","Nova Scotia","B1A 1K1","Canada","(902) 109-4055","cguajardo426@nci.ca","122721815","New Canada Incorporated","507","94188","9560559","2018-11-16","8"
"10","Orville","Hallum","Professor","26","526","Second Rd.","Cape Breton","Nova Scotia","B1A 1K1","Canada","(902) 748-5613","ohallum810@nci.ca","106661672","New Canada Incorporated","332","90794","4044718","2022-04-06","7"
