"id","first_name","last_name","role_name","street_number","street_name","city","province","postal_code","country","phone_number","email_address","sin","company_name","institution_number","transit_number","account_number","start_date","salary","branch_id"
"1","Wendell","May","Business Strategist","241","Church Dr.","Steady Brook","Newfoundland and Labrador","A8N 3V1","Canada","(709) 135-9980","wmay184@nci.ca","189103014","New Canada Incorporated","311","56815","7702945","2015-12-26","3"
"2","David","Sosa","Artist","915","Poplar Rd.","Halifax","Nova Scotia","B0A 1F1","Canada","(902) 131-0131","dsosa512@nci.ca","110076594","New Canada Incorporated","618","46098","8308106","2018-02-05","7"
"3","Henry","Anderson","Actuary","720","Third Rd.","Halifax","Nova Scotia","B0A 1F2","Canada","(902) 492-5282","handerson485@nci.ca","105698683","New Canada Incorporated","551","44397","5879678","2021-02-12","10"
"4","Nancy","Simitian","Taxi Driver","780","Second Dr.","Halifax","Nova Scotia","B0A 1F2","Canada","(902) 492-6524","nsimitian247@nci.ca","180246432","New Canada Incorporated","568","94738","0971529","2013-10-06","8"
"5","Erin","Major","Mechanical Engineer","81","Seventh Ave.","Wabush","Newfoundland and Labrador","A6D 2Q1","Canada","(709) 135-3066","emajor539@nci.ca","148803936","New Canada Incorporated","326","30826","7191938","2015-01-15","3"
"6","Lakiesha","Baker","Professor","891","Main Rd.","Cape Breton","Nova Scotia","B1A 1C1","Canada","(902) 131-7412","lbaker129@nci.ca","140962003","New Canada Incorporated","830","82070","0622540","2014-12-24","4"
"7","Rosalie","Tyler","Marine Biologist ","354","Sixth Ave.","Logy Bay-Middle Cove-Outer Cove","Newfoundland and Labrador","A8C 2Y1","Canada","(709) 135-8249","rtyler914@nci.ca","104891214","New Canada Incorporated","240","95692","0619594","2015-05-07","7"
"8","David","Elliott","Garbage Truck Drive","797","Park Ct.","Marystown","Newfoundland and Labrador","A4B 1B1","Canada","(709) 892-9643","delliott238@nci.ca","131053762","New Canada Incorporated","570","56761","3374234","2014-05-05","9"
"9","John","Valentine","Analyst","954","Smith Rd.","Halifax","Nova Scotia","B0A 1F2","Canada","(902) 925-1342","jvalentine266@nci.ca","109454661","New Canada Incorporated","810","99935","5128159","2018-03-06","3"
"10","Irma","Miles","Mechanical Engineer","632","Third Rd.","St. Alban's","Newfoundland and Labrador","A6F 3D1","Canada","(709) 718-0679","imiles989@nci.ca","156726060","New Canada Incorporated","326","10818","9039289","2021-03-25","2"
"11","Daryl","Long","Artist","115","Maple Rd.","Halifax","Nova Scotia","B0A 1F3","Canada","(902) 527-4047","dlong470@nci.ca","163507339","New Canada Incorporated","265","54708","6489126","2017-02-02","5"
"12","Alexandria","Jeppesen","Dentist","148","First Rd.","Small Point-Adam's Cove-Blackhead-Broad Cove","Newfoundland and Labrador","A9N 2B1","Canada","(709) 718-0672","ajeppesen484@nci.ca","158306622","New Canada Incorporated","349","54112","4427603","2021-11-17","3"
"13","Earl","Clark","Librarian","470","First Rd.","Natuashish","Newfoundland and Labrador","A1H 3B1","Canada","(709) 654-8726","eclark20@nci.ca","198929615","New Canada Incorporated","840","86875","7686172","2022-09-15","7"
"14","Sanjuana","Munoz","Librarian","481","Queen Rd.","Halifax","Nova Scotia","B0A 1F3","Canada","(902) 491-2191","smunoz69@nci.ca","199247108","New Canada Incorporated","604","52156","9555517","2016-03-19","1"
"15","Santiago","White","Physical Therapist","136","Lakeview Blvd.","Halifax","Nova Scotia","B0A 1F3","Canada","(902) 527-9983","swhite830@nci.ca","117051640","New Canada Incorporated","16","56610","4824301","2013-10-21","7"
"16","Marla","Smith","Chef","350","Main Rd.","Halifax","Nova Scotia","B0A 1F3","Canada","(902) 527-2882","msmith457@nci.ca","182335183","New Canada Incorporated","809","50317","4303301","2014-10-16","6"
"17","Marta","Deyoe","Gardener","538","Third Ave.","Flatrock","Newfoundland and Labrador","A1E 3C1","Canada","(709) 654-8240","mdeyoe598@nci.ca","166096439","New Canada Incorporated","340","15087","1439186","2014-05-06","10"
"18","Alma","Figueiredo","Paramedic","891","Second Rd.","St. Mary's","Newfoundland and Labrador","A1R 2V1","Canada","(709) 654-5567","afigueiredo435@nci.ca","109785239","New Canada Incorporated","837","57703","4012867","2019-01-01","4"
"19","Teresa","Powell","Dermatologist","949","Fifth Rd.","Halifax","Nova Scotia","B0A 1F4","Canada","(902) 159-4067","tpowell310@nci.ca","185379444","New Canada Incorporated","328","89660","7426734","2019-03-11","9"
"20","Nina","Johnson","Garbage Truck Drive","198","Fourth Rd.","Bay L'Argent","Newfoundland and Labrador","A8T 0F1","Canada","(709) 654-6330","njohnson660@nci.ca","129115920","New Canada Incorporated","355","86590","0993874","2010-09-10","7"
"21","John","Chandler","Manager","566","Fourth Ave.","Logy Bay-Middle Cove-Outer Cove","Newfoundland and Labrador","A8C 2Y2","Canada","(709) 135-1713","jchandler284@nci.ca","172267743","New Canada Incorporated","840","10852","1246002","2018-07-27","4"
"22","Lynda","Pavia","Athlete","676","Second Rd.","Peterview","Newfoundland and Labrador","A0I 1H1","Canada","(709) 654-8419","lpavia341@nci.ca","170290457","New Canada Incorporated","332","72513","3240792","2020-02-18","4"
"23","Steve","Rippee","Front-End Developer","626","Oak Rd.","Gambo","Newfoundland and Labrador","A9D 3H1","Canada","(709) 654-9275","srippee957@nci.ca","150177567","New Canada Incorporated","842","91920","0305347","2013-03-15","1"
"24","Donna","Kent","Software Engineer","31","Main Rd.","Victoria","Newfoundland and Labrador","A2E 1L1","Canada","(709) 135-6258","dkent859@nci.ca","125253378","New Canada Incorporated","509","20892","4376372","2016-10-06","8"
"25","Michelle","Brown","Analyst","753","Second Rd.","Halifax","Nova Scotia","B0A 1F4","Canada","(902) 492-6128","mbrown334@nci.ca","150325513","New Canada Incorporated","840","68671","3989862","2016-08-22","10"
"26","Leslie","Perez","Actor","552","Fifth Rd.","Halifax","Nova Scotia","B0A 1F4","Canada","(902) 159-3557","lperez631@nci.ca","172548738","New Canada Incorporated","292","51893","5828734","2019-02-17","3"
"27","Sam","Blankenship","Associate","700","First Dr.","Torbay","Newfoundland and Labrador","A9A 0I1","Canada","(709) 848-6808","sblankenship656@nci.ca","167765057","New Canada Incorporated","1","71666","2700033","2007-05-26","5"
