"employee_id","phone_number","branch_id","employee_first_name","employee_last_name","employee_start_date","employee_sin","employee_bank_institution_number","employee_bank_transit_number","employee_bank_account_number","company_name"
"1","(709) 246-5379","3","Stephanie","Brown","2015-07-12","127035096","3","68313","6514984","New Canada Incorporated"
"2","(902) 235-2284","9","Courtney","Roane","2007-04-11","192000421","819","15046","5399140","New Canada Incorporated"
"3","(709) 246-4923","3","Dana","Bossler","2021-10-12","174871922","551","92563","3648972","New Canada Incorporated"
"4","(902) 630-4282","3","Beatrice","Brown","2017-04-05","128746675","241","35531","3519394","New Canada Incorporated"
"5","(709) 246-7519","7","Devin","Rivera","2020-11-19","135963057","819","94005","8286573","New Canada Incorporated"
"6","(902) 235-3865","9","Wanda","Smith","2015-04-20","172893605","551","41805","3592699","New Canada Incorporated"
"7","(902) 630-9519","1","Rita","Smith","2003-06-18","167138826","507","99988","4170339","New Canada Incorporated"
"8","(902) 630-3700","9","Debi","Denley","2018-09-03","160773397","360","65048","2214508","New Canada Incorporated"
"9","(709) 358-6897","3","Jeffrey","Bostrom","2018-05-01","180049760","177","66178","7872400","New Canada Incorporated"
"10","(902) 630-1164","7","Katheryn","Fisher","2017-02-08","152660230","837","42647","1414389","New Canada Incorporated"
